Year,Expense,Total
2024,BLUEHOST.COM,$209.44 
2024,GOOGLE WORKSPACE,"$1,693.31 "
2024,ELECTIONRUNNER.COM,$113.00 
2024,SHOPIFY,$510.00 
2024,UNIONIMPACT HTTPSUNIONIMP WA,"$3,000.00 "
2024,SURVEYMONKEY,$516.44 
2024,ZOOM,$176.45 
2024,JOTFORM INC,$257.99 
2024,MICROSOFT 365,$77.23 
2024,Ullico Insurance,$874.00 
2024,Online Store (T-Shirts),"$4,024.00 "
2024,Printing,$841.13 
2024,TravelPerk Fees,$855.95 
2022,BLUEHOST.COM,$151.88 
2022,ELECTIONRUNNER.COM,$76.00 
2022,GOOGLE WORKSPACE,$531.37 
2022,Microsoft 365,$77.16 
2022,SHOPIFY,$378.72 
2022,SURVEYMONKEY,$423.36 
2022,ZOOM,$165.26 
2025,BLUEHOST.COM,$209.16 
2025,ELECTIONRUNNER.COM,$19.00 
2025,GOOGLE WORKSPACE,"$2,168.22 "
2025,JOTFORM INC,$450.23 
2025,Microsoft 365,$110.34 
2025,Printing,$888.24 
2025,SHOPIFY,$510.24 
2025,SURVEYMONKEY,$516.44 
2025,Travelperk Fees,$552.75 
2025,ZOOM,$619.06 
2023,Printing,$841.13 
2023,TravelPerk Fees,$855.95 
2023,BLUEHOST.COM,$151.88 
2023,ELECTIONRUNNER.COM,$76.00 
2023,GOOGLE WORKSPACE,$531.37 
2023,Microsoft 365,$77.16 
2023,SHOPIFY,$378.72 
2023,SURVEYMONKEY,$423.36 
2023,ZOOM,$165.26 
2023,BLUEHOST.COM,$209.16 
2023,ELECTIONRUNNER.COM,$19.00 
2023,GOOGLE WORKSPACE,"$2,168.22 "
2023,JOTFORM INC,$450.23 
